Entity,Code,Year,Internet Users
Afghanistan,AFG,2016,3672058
Albania,ALB,2016,1942025
Algeria,DZA,2016,17438483
Angola,AGO,2016,3745750
Antigua and Barbuda,ATG,2016,73703
Argentina,ARG,2016,31118074
Armenia,ARM,2016,1882003
Aruba,ABW,2016,98053
Australia,AUS,2016,21288325
Austria,AUT,2016,7346364
Azerbaijan,AZE,2016,7605244
Bahamas,BHS,2016,312986
Bahrain,BHR,2016,1396667
Bangladesh,BGD,2016,29733670
Barbados,BRB,2016,226713
Belarus,BLR,2016,6741547
Belgium,BEL,2016,9826872
Belize,BLZ,2016,163572
Benin,BEN,2016,1304029
Bhutan,BTN,2016,333248
Bolivia,BOL,2016,4322219
Bosnia and Herzegovina,BIH,2016,2119233
Botswana,BWA,2016,885770
Brazil,BRA,2016,126403573
Brunei,BRN,2016,380876
Bulgaria,BGR,2016,4266455
Burkina Faso,BFA,2016,2603042
Burundi,BDI,2016,544479
Cambodia,KHM,2016,5106764
Cameroon,CMR,2016,5859797
Canada,CAN,2016,33081802
Cape Verde,CPV,2016,271522
Central African Rep.,CAF,2016,183785
Chad,TCD,2016,722627
Chile,CHL,2016,14965390
China,CHN,2016,746662194
Colombia,COL,2016,28285392
Comoros,COM,2016,63157
Congo,COG,2016,416317
Costa Rica,CRI,2016,3207196
Cote d'Ivoire,CIV,2016,9765088
Croatia,HRV,2016,3062930
Cuba,CUB,2016,4932377
Curacao,CUW,2016,98580
Cyprus,CYP,2016,888129
Czechia,CZE,2016,8115380
Democratic Republic of Congo,COD,2016,4889495
Denmark,DNK,2016,5538674
Djibouti,DJI,2016,123775
Dominican Republic,DOM,2016,6801383
Ecuador,ECU,2016,8858247
Egypt,EGY,2016,39469731
El Salvador,SLV,2016,1839784
Equatorial Guinea,GNQ,2016,290470
Eritrea,ERI,2016,58322
Estonia,EST,2016,1144939
Eswatini,SWZ,2016,383770
Ethiopia,ETH,2016,15736221
Fiji,FJI,2016,417986
Finland,FIN,2016,4826448
France,FRA,2016,51304091
French Polynesia,PYF,2016,191776
Gabon,GAB,2016,951332
Gambia,GMB,2016,377123
Georgia,GEO,2016,2326195
Germany,DEU,2016,73434128
Ghana,GHA,2016,9778145
Greece,GRC,2016,7726596
Grenada,GRD,2016,59943
Guam,GUM,2016,125446
Guatemala,GTM,2016,5722498
Guinea,GIN,2016,1214801
Guinea-Bissau,GNB,2016,68296
Guyana,GUY,2016,275760
Haiti,HTI,2016,1326911
Honduras,HND,2016,2733860
Hong Kong,HKG,2016,6388370
Hungary,HUN,2016,7730392
Iceland,ISL,2016,326623
India,IND,2016,391255067
Indonesia,IDN,2016,66453884
Iran,IRN,2016,42729084
Iraq,IRQ,2016,7898106
Ireland,IRL,2016,4017692
Israel,ISR,2016,6525047
Italy,ITA,2016,36444965
Jamaica,JAM,2016,1278367
Japan,JPN,2016,119039541
Jordan,JOR,2016,5891172
Kazakhstan,KAZ,2016,13416643
Kenya,KEN,2016,8044620
Kiribati,KIR,2016,15672
Kuwait,KWT,2016,3175904
Kyrgyzstan,KGZ,2016,2054728
Laos,LAO,2016,1478052
Latvia,LVA,2016,1573312
Lebanon,LBN,2016,4571675
Lesotho,LSO,2016,602965
Liberia,LBR,2016,337691
Libya,LBY,2016,1275778
Lithuania,LTU,2016,2163058
Luxembourg,LUX,2016,565019
Macao,MAC,2016,499791
Madagascar,MDG,2016,1173445
Malawi,MWI,2016,2075104
Malaysia,MYS,2016,24571919
Maldives,MDV,2016,252772
Mali,MLI,2016,1999620
Malta,MLT,2016,331851
Mauritania,MRT,2016,774183
Mauritius,MUS,2016,658723
Mexico,MEX,2016,75938137
Micronesia (country),FSM,2016,34999
Moldova,MDA,2016,2882322
Mongolia,MNG,2016,674073
Montenegro,MNE,2016,439287
Morocco,MAR,2016,20556219
Mozambique,MOZ,2016,5051281
Myanmar,MMR,2016,13260073
Namibia,NAM,2016,769538
Nepal,NPL,2016,5706349
Netherlands,NLD,2016,15358408
New Zealand,NZL,2016,4123448
Nicaragua,NIC,2016,1511150
Niger,NER,2016,893643
Nigeria,NGA,2016,47743541
North Macedonia,MKD,2016,1501732
Norway,NOR,2016,5112723
Oman,OMN,2016,3400430
Pakistan,PAK,2016,29974665
Palestine,PSE,2016,2930876
Panama,PAN,2016,2178424
Papua New Guinea,PNG,2016,776284
Paraguay,PRY,2016,3591314
Peru,PER,2016,14444940
Philippines,PHL,2016,57342723
Poland,POL,2016,28018760
Portugal,PRT,2016,7304070
Puerto Rico,PRI,2016,2517649
Qatar,QAT,2016,2423097
Romania,ROU,2016,11768741
Russia,RUS,2016,105225728
Rwanda,RWA,2016,2383502
Saint Lucia,LCA,2016,83185
Saint Vincent and the Grenadines,VCT,2016,60934
Samoa,WSM,2016,57390
Sao Tome and Principe,STP,2016,55975
